Iteración,Dataset,p,ro,mu,n,w,Valor Objetivo,Tiempo,Factibilidad
0,1,0.5,0.4,1.5,5,3,22126140.081142187,43.37783098220825,True
1,1,0.5,0.4,1.5,5,3,22153730.375254974,36.200011253356934,True
2,1,0.5,0.4,1.5,5,3,22181096.83160362,36.2260639667511,True
0,1,0.5,0.4,2,5,3,22147517.230622448,36.780616998672485,True
1,1,0.5,0.4,2,5,3,22097316.37458199,51.38206696510315,True
2,1,0.5,0.4,2,5,3,22101987.647032563,50.742918729782104,True
0,1,0.5,0.4,2.5,5,3,22191100.336616304,44.197349071502686,True
1,1,0.5,0.4,2.5,5,3,22133177.78961477,44.39438509941101,True
2,1,0.5,0.4,2.5,5,3,22182818.12639542,47.795201778411865,True
0,1,0.5,0.4,3,5,3,22152942.04950918,32.94033432006836,True
1,1,0.5,0.4,3,5,3,22179928.958758276,67.2779598236084,True
2,1,0.5,0.4,3,5,3,22183021.0154745,60.61510181427002,True
0,1,0.5,0.4,3.5,5,3,22184001.75520149,55.03536677360535,True
1,1,0.5,0.4,3.5,5,3,22216867.9733448,59.449976205825806,True
2,1,0.5,0.4,3.5,5,3,22178424.362004817,60.65188932418823,True
0,1,0.5,0.4,4,5,3,22181696.83487339,57.996347188949585,True
1,1,0.5,0.4,4,5,3,22163215.27181899,53.22037982940674,True
2,1,0.5,0.4,4,5,3,22184617.862461336,55.93506217002869,True
0,1,0.5,0.4,4.5,5,3,22146597.10160331,46.32941508293152,True
1,1,0.5,0.4,4.5,5,3,22181633.646542452,41.23658609390259,True
2,1,0.5,0.4,4.5,5,3,22169478.701451752,48.82629704475403,True
0,1,0.5,0.4,5,5,3,22148990.00555302,75.26807188987732,True
1,1,0.5,0.4,5,5,3,22174949.269899055,46.52957201004028,True
2,1,0.5,0.4,5,5,3,22178259.073367417,52.136430978775024,True
